fold,actual,predicted,absolute_error,geo_distance_km,environment_distance,support
1,1.578621,3.1641723733333325,1.5855513733333324,148.0627434476668,1.055302012746976,Caution
1,0.292958,4.581801926666669,4.28884392666667,199.78472584935574,1.6217004813903864,Caution
1,2.413135,1.958069599999996,0.45506540000000406,150.1859502557116,2.223357379453222,Extrapolation
1,0.258935,3.2242089166666674,2.9652739166666673,162.53549696688364,1.4190991002054238,Caution
1,3.215274,2.761568706666667,0.453705293333333,153.97720994464177,1.601356587353839,Caution
1,0.379932,3.21758911,2.83765711,157.97619558989015,1.400818790225492,Caution
1,1.574961,2.2523970999999987,0.6774360999999987,202.92706462293057,1.5560206279372482,Extrapolation
1,0.616756,4.4147893533333376,3.7980333533333375,135.56090448855844,1.4542104389154369,Caution
1,0.894086,2.2472684766666644,1.3531824766666642,196.13686566340664,1.5409473505566251,Caution
1,0.320443,4.451040983333339,4.130597983333339,128.45729378542765,1.4633816906462835,Caution
1,0.514966,1.8619371799999989,1.3469711799999988,189.53344566755078,1.3740980430575451,Caution
1,0.364115,2.6064094100000026,2.2422944100000026,121.95881872041818,2.233021101621436,Extrapolation
1,0.551901,1.859881213333332,1.307980213333332,184.32294014124525,1.3736009836381384,Caution
1,0.402258,4.533832376666671,4.131574376666671,152.6054532232089,1.4668539397537597,Caution
1,0.183989,4.441100456666672,4.257111456666672,146.57837426167274,1.4675331595357384,Caution
1,0.326856,3.1440072099999945,2.8171512099999947,106.30581018694798,2.562776997287574,Extrapolation
1,0.650244,1.8531838999999988,1.2029398999999987,178.5303857483209,1.3801132868296322,Caution
1,0.468736,4.434117666666672,3.965381666666672,141.99510922636384,1.459996093335829,Caution
1,0.317912,3.8255820633333344,3.507670063333334,114.6642321797644,1.1732267843950088,Caution
1,0.678457,1.859881213333332,1.1814242133333321,172.90435968826353,1.38246746670232,Caution
1,0.165177,4.5069167700000055,4.3417397700000055,117.13843183051542,1.744069312248164,Extrapolation
1,0.418786,1.8263241799999983,1.4075381799999982,167.21191320940665,1.3857194243788016,Caution
1,0.66966,2.178209406666665,1.5085494066666651,111.89594037170806,0.7451870874875838,Caution
1,3.210041,7.006508425555559,3.796467425555559,187.91087293050884,2.350977314210625,Extrapolation
1,0.79943,4.193350236666669,3.393920236666669,80.63125120405424,2.0512796549363554,Extrapolation
1,0.995046,4.193350236666669,3.198304236666669,80.50992641155268,2.051270610171842,Extrapolation
1,1.348287,3.308806193333336,1.9605191933333361,108.43504245374167,2.730206651764873,Extrapolation
1,0.784123,4.080690533333335,3.2965675333333353,108.17269597102525,2.7300372605673617,Extrapolation
1,0.914308,1.1788679999999998,0.2645599999999998,111.88018908768602,0.9423328071551624,Caution
1,2.182661,4.147854406666671,1.9651934066666708,47.7199192279164,0.46242668527760805,Supported
1,0.285813,0.7836066700000002,0.4977936700000002,71.45728830570604,1.265253089934794,Caution
1,1.393601,1.1787082266666662,0.2148927733333339,111.58856890749425,0.9422026067653299,Caution
1,0.86557,1.260771436666666,0.3952014366666661,55.613513925779955,1.0722908859230535,Supported
1,0.934591,1.260771436666666,0.3261804366666661,55.951476149134464,1.0716957826630953,Supported
1,4.099853,6.874681444999995,2.7748284449999945,48.29978889627742,0.58870487364931,Supported
1,5.898689,6.874681444999995,0.9759924449999948,48.02152808850882,0.5882499245599333,Supported
